X,moduleColor
C14ORF166,background
NDUFB8,background
REXO2,background
EIF3M,background
PLRG1,background
LOC645715,background
GTF2A2,background
PPP2R3C,background
EEF1AL7,background
LOC728820,background
ACP1,background
LOC730029,background
RARS,background
EXOSC1,background
PRDX4,background
RPS14,background
C1ORF43,background
LOC389223,background
RPS5,background
LOC100128410,background
SYF2,background
ITM2A,background
CD52,background
LOC100132291,background
EBAG9,background
SNRNP27,background
TINP1,background
LOC644604,background
ARMET,background
EIF3E,background
SNORA25,background
SNRPF,background
NSMCE4A,background
RPL41,background
LOC644511,background
LOC401152,background
RPL11,background
RPS25,background
CROP,background
